country,description,points,price,province,region_1,variety,winery
Australia,"Seems a bit dilute, with low-intensity flavors of cherries and herbs. Clean and fresh; could use more weight and richness.",83,21.0,Western Australia,Margaret River,Cabernet Sauvignon,Evans & Tate
Argentina,"Yellowish in color, with a heavy, somewhat creamy nose that deals vanilla and melon. More sweet vanilla is woven into the anonymous fruit flavors, while slight oakiness rears up on the finish. Not bad but oaky and unfocused.",84,13.0,Mendoza Province,Tupungato,Chardonnay,Domaine Jean Bousquet
Italy,"Here's a modern, plush and extracted expression of Sangiovese Grosso that has been enhanced by elegant oak aging. Still young, it exhibits notes of vanilla, toasted coconut, smoke and resin along with a solid base of cassis and dried berry fruit. The texture here is polished and smooth with zesty spice on the close.",94,96.0,Tuscany,Brunello di Montalcino,Sangiovese Grosso,Poggio Antico
France,"This is a big, smoky wine that's packed with ripe fruits, firm tannins and layers of wood. Firm, solid and concentrated, the wine's black fruits show through the dense texture. It has great potential—age for at least five years.",94,195.0,Burgundy,Echézeaux,Pinot Noir,Domaines Devillard
US,"Broad and generous, this Pinot appeals for its lush flavors of black cherries, mocha, cola, sweet rhubarb pie and smoky oak. It's jammy and somewhat tannic, and should soften and sweeten with up to six years of aging.",90,48.0,California,Sonoma Coast,Pinot Noir,Tandem
US,"Beautiful, irresistable Syrah, lush and sweet in fruit and oak. Soft and velvety, it offers layers of puréed raspberries, cherries, blackberries, blueberries and chocolate, with a rich edge of toasted marshmallow, gingerbread and butterscotch. Yet it's dry, with modest alcohol.",94,27.0,California,Russian River Valley,Syrah,Novy
US,"Bright, brash fruit sets this off on the right note, with raspberries and strawberries and even a little watermelon in the mix. Fruit defines the middle, and extends through to the full, ripe finish.",87,22.0,California,Paso Robles,Zinfandel,Martin & Weyrich
Italy,I was delighted to find more evolved pastry shop smells like baked apple and cinnamon instead of the simple floral and exotic fruit aromas usually associated with Alto Adige. A great effect in the mouth: The wine is crisp and coats evenly. Imported by Total Wine & More.,87,13.0,Northeastern Italy,Alto Adige,Pinot Grigio,Kupelwieser
US,"This hits the palate rather hard and green, with thin fruit that does not seem quite ripe. The barrel flavors add fat and caramel over the top, but remain unintegrated and seem out of place. The wine reverts to its green side as the tannins take over.",84,24.0,Washington,Walla Walla Valley (WA),Merlot,Skylite
Spain,"A bit tan and dull to the eye, with neutral aromas of apple cider and peach. The palate is wet, uncomplicated and simple, with basic apple flavors that some might consider to be bland. Solid on the finish, with papaya for flavor.",84,8.0,Northern Spain,Navarra,Viura-Chardonnay,Vega Sindoa
US,"Made in a lighter style, this Paso blend has cherry, red currant, violet and sandalwood flavors. There are some pretty hard tannins, but they're refined. Basically a Bordeaux blend with a splash of Syrah.",85,28.0,California,Paso Robles,Red Blend,D'Anbino
US,"A good everyday wine. It's dry, full-bodied and has enough berry-cherry flavors to get by, wrapped into a smooth texture.",84,10.0,California,California,Merlot,Montevina
Argentina,"Features intoxicating pastry, blueberry, cola and coffee aromas in front of a minerally, terroir-packed palate of soft black fruit, chocolate, fine herbs and other character-aiding touches. The mouthfeel is fabulous and the finish of Swiss chocolate and integrated spice is as smooth as silk. Drink now through 2011.",96,123.0,Mendoza Province,Mendoza,Malbec,Bodega Catena Zapata
Spain,"Aromas of saline, citrus fruit, passion fruit and mustard are pithy and show pyrazines. Following the nose, this is citric in feel, with orange peel and grapefruit flavors. A grassy, slightly bitter finish is snappy and suggests fresh scallion.",86,19.0,Northern Spain,Rueda,Verdejo,De Alberto
Italy,"Steady and focused, this has tight aromas of blackberry and spice that open and evolve the longer the wine stays in the glass. There's a touch of sweet strawberry on the finish.",90,50.0,Veneto,Amarone della Valpolicella Classico,Red Blend,Fabiano
US,"Simple, sweet and oaky, this Chard has ripe flavors of tropical fruits, pears, lemon tarts and vanilla. It's fine for big parties where Chard is in demand.",82,10.0,California,Sonoma County,Chardonnay,Sonoma Creek
US,"Sonoma Cabernet specialist Cohn turns his attention to Pinot, with good results. The wine is dry, silky and interesting, showing an array of cherry, cola, tobacco and peppery spice flavors. Has enough of a complex tannin structure to pair with lamb chops, or a great grilled salmon steak.",90,40.0,California,Russian River Valley,Pinot Noir,B.R. Cohn
US,"You'll find thick tannins and soft acidity in this wine, which offers direct, jammy blackberry and cassis flavors. It's quite a rich wine that seems best now and for the next few years.",87,40.0,California,Santa Cruz Mountains,Cabernet Sauvignon,Fernwood
Spain,"Light melon and vanilla aromas are simple yet muddled, while the green melon and lemon flavors are not overly generous but acceptable. A narrow wine with a lean figure and protruding acidity.",82,10.0,Northern Spain,Rueda,Verdejo,Solar de la Vega
Argentina,"Cherry, cassis and spice aromas are mild and comported. The wine feels chewy and just dense enough, with baked cassis, berry and herb flavors that finish toasty and hot, with a rubbery note. Clean aromas and full fruit flavors are this wine's best attributes.",87,14.0,Mendoza Province,Mendoza,Cabernet Sauvignon,Hacienda del Plata
Italy,"This ripasso by Cesari presents a solid wall of black fruit, prune, plum and blackberry on the nose. The wine is dense and luscious with thick layers of ripe fruit and spice. Pair it with barbecued pork ribs.",91,24.0,Veneto,Valpolicella Superiore Ripasso,"Corvina, Rondinella, Molinara",Cesari
Argentina,"This has apple and nectarine aromas that are a touch briny. It shows good acidity and mouthfeel, with flavors of apple, peach and even some green bean.",85,15.0,Mendoza Province,Mendoza,Chardonnay,Trapiche
France,"A lively, almost racy wine that has delicious ripe fruit, lovely fresh acidity, lemon and green-apple flavors and an appealing layer of new wood. Chardonnay lovers, this is for you.",92,70.0,Burgundy,Chassagne-Montrachet,Chardonnay,Domaine Bernard Moreau et Fils
US,"Made from organic grapes and packaged in a 500-ml Tetra Pak, this Chard is made from ripe fruit with a toasty caramel molasses halo around it, and finishes sweet. It would be quite drinkable on a camping trip or tailgate party.",85,7.0,California,Mendocino,Chardonnay,CalNaturale
US,"A brilliant Chardonnay showing how well this region can ripen fruit while retaining brisk acidity. Oak barrels add an exotic touch of clove to the underlying pineapple fruit flavors. Feels rich and creamy, and aging on the lees provides a complex touch of sourdough. Drink now.",93,45.0,California,Sta. Rita Hills,Chardonnay,Foley
US,"Winemaker Eric Dunham was the first to latch onto the fruit coming from this exceptional site in the Rattlesnake Hills, and this is as good as any Syrah made in Washington. An awesome nose with spectacular intensity spills out of the glass, carrying superb raspberry scents. The wine is crisp and focused, intense and nuanced. Flavors float from raspberry into the cherry cola realm, heading for a lingering, elegant finish.",94,75.0,Washington,Columbia Valley (WA),Syrah,Dunham
Italy,"Made with sweetly fragrant Malvasia grapes from the tiny island of Salina off the northern coast of Sicily, this Passito dessert wine opens with all the intensity you'd expect of sunny southern Italy. The wine sports a luminous amber color and aromas of candied fruit or orange rind, dried mint, touches of root beer and even a hint of white licorice.",88,40.0,Sicily & Sardinia,Malvasia delle Lipari,Malvasia,Colosi
US,"What this wine needs is more acidic crispness. The flavors are totally delicious, the texture is elegant, the finish is totally dry, but the superripe cherries, raspberries, cocoa and cola just sort of melt into the palate, then fade away.",86,55.0,California,Sonoma Coast,Pinot Noir,Manzanita Creek
Australia,"A well made 50-50 blend, this is loaded with black fruit. Perfect balance, a velvety mouthfeel and a long finish are other attributes. Food-wise, prime rib would be just fine. Best Buy.",87,7.0,Australia Other,South Eastern Australia,Cabernet Sauvignon-Shiraz,Alice White
Italy,"This is a delicate Rosso di Montalcino with aromas of red berry, almond and cola. It's short and compact in the mouth but offers good freshness that could match simple chicken or pork dishes. Drink now.",86,26.0,Tuscany,Rosso di Montalcino,Sangiovese Grosso,Podere Paganico
US,"Tart berry flavors, tangy acids, and subtle barrel flavors of caramel and clove bring complexity and detail to this well-balanced, ageworthy wine.",91,54.0,Oregon,Dundee Hills,Pinot Noir,Winderlea
Italy,"This is a very likeable and approachable Brunello with soft but generous tones of cherry fruit, exotic spice, pipe tobacco and cedar wood. In fact, those exotic wood notes transfer to the mouth where the wine is smooth and enduring with a sweet cherry finale.",90,60.0,Tuscany,Brunello di Montalcino,Sangiovese Grosso,Capanna
France,"This is a firm wine, showing the tannins of the vintage while also bringing out ripe fruit to balance. It shows tense acidity with a juicy edge and follows through with a sense of potential richness. This has all the  elements for good aging.",90,25.0,Bordeaux,Haut-Médoc,Bordeaux-style Red Blend,Château Fontesteau
US,"This simple Merlot offers plenty of semi-sweet chocolate, raspberry, red currant and sandalwood flavors. What it's lacking is structure. Tasty, but needs greater acidity and tannins for balance.",84,24.0,California,Napa-Sonoma,Merlot,Artesa
France,"Light and bright, this is a direct and easygoing rosé, with attractive aromas and flavors of red currant, ruby-red grapefruit rind, white melon and peach. The medium-weight palate is lifted by refreshing, citrus-flavored acidity, ending with an orange and strawberry-hull fueled finish.",86,10.0,Languedoc-Roussillon,Sable de Camargue,Rosé,Listel
US,"Made with organically grown grapes, and harvested rather late (end of October) from vineyards in the Horse Heaven Hills, this is a surprisingly substantial, earthy offering. Raspberry and cherry fruit flavors are laced with graphite and iron ore, and some black olive herbal character adds interest to the finish.",87,12.0,Washington,Columbia Valley (WA),Merlot,Snoqualmie
US,"Smells funky. Although it's richer in the mouth, with blackberry, currant and cedar flavors, it's hard to get beyond that not-quite-clean smell. Something's tamping down the fruit, leaving behind alcohol and oak.",82,58.0,California,Napa Valley,Cabernet Sauvignon,Townley
US,"Made in a drier, more tannic style compared to some top Napa Cabs, this Bordeaux blend is elegant rather than opulent. It has red currant, licorice and new oak flavors framed by hard, astringent tannins. Could develop with bottle age after 2011.",88,75.0,California,Diamond Mountain District,Cabernet Sauvignon,J. Davies
US,"This creamy and delicious blend of 80% Petite Sirah, 10% Syrah and 10% Mourvèdre truly outperforms all its parts. It offers high tones of red fruit, earthy licorice and tamed tobacco. Medium in body with well-behaved tannins, it has a dusty finish that's very appealing.",89,35.0,California,Lodi,Red Blend,Borra
Spain,"This smells rubbery and gritty, with notes of gas and leather. It feels acidic and drawing but healthy, with earthy red-berry flavors. Dry and peppy, there's still not a lot of style or character to the wine.",84,15.0,Northern Spain,Rioja,Tempranillo Blend,Federico Paternina
Italy,"This blend of Grecanico and Viognier offers a generous bouquet with exotic fruit, pineapple, white flower and dusty talc powder. The wine also shows creamy thickness in the mouth.",87,25.0,Sicily & Sardinia,Sicilia,White Blend,Settesoli
US,"This is a well-made, balanced effort with green apple fruit enhanced with hints of honey and allspice. Still quite young and tight, it is just beginning to soften up and show some nice toasted, roasted nuts in the finish. It isn't quite as intense as the Barrel Fermented Chardonnay from CSM; this is a slightly softer, more approachable wine.",87,20.0,Washington,Columbia Valley (WA),Chardonnay,Chateau Ste. Michelle
Italy,"This cleanses the palate thanks to its alcohol and acidity, and aromas of red cherry, cedar and cinnamon. Pair this savory effort with spicy marinated pork or lamb.",88,24.0,Veneto,Valpolicella Classico Superiore Ripasso,"Corvina, Rondinella, Molinara",Secondo Marco
US,"After the wonderful 2005 vintage, this is a bit of a letdown, which undoubtedly is a reflection of the vintage. It's very rich and the tannins are superb, but there's a jammy sweetness to the blackberries and cherries. It's a delicious wine, but could be drier and have a more complex structure. Now through 2012.",88,100.0,California,Oakville,Cabernet Sauvignon,Oakville East
US,"A fairly standard Zin that plays it right down the middle. It's dry, clean and spicy, with wild berry and tobacco flavors wrapped into smooth tannins. Drink now.",86,15.0,California,Sonoma County,Zinfandel,Sebastiani
US,"This wine is a blend of top sites Les Collines, SJR and Red Willow. It's perfumed with notes of green olive, violets, dried herbs, mineral and smoked meat. The palate is tightly wound, sensuous and supple, lithe yet rich with tart fruit and savory flavors backed by tannins that need more time to come into their own—but this wine surely deserves it. It has all of the stuffing to be a 20+ year wine. Best from 2025 to 2032. Give it an extended decant if opening in the near term.",95,85.0,Washington,Walla Walla Valley (WA),Syrah,Gramercy
US,"The climate of New Mexico seems to suit the Viognier grape. Here it has given it a lovely, intense perfume of gardenia, orange blossom and guava. Though broad and soft in the mouth, enough acid comes through on the finish to save it from flabbiness. Serve as an apéritif.",86,20.0,New Mexico,New Mexico,Viognier,La Chiripada
Australia,"Toasty and nutty upfront, with hints of minerality showing through, this is a refined Chardonnay that should have the structure to age. Despite being barrel-fermented, there's no malolactic fermentation, so it stays crisp through the long finish that barely hints at pear and peach.",90,85.0,Victoria,Yarra Valley,Chardonnay,Mount Mary
US,"Ripe, round, toasty wine, with rich, plummy fruit and a full-throttle palate feel. Nicely made and surprisingly evolved; jammy and pleasure-packed. Finishes with a pleasing fruit sweetness.",90,21.0,California,Sonoma Valley,Zinfandel,Villa Mt. Eden
US,"Dry and a little unripe, this has a vegetal streak that compromises the nectarine and citrus flavors. A fine burst of acidity makes the mouth water. The blend is mainly Sémillon, with a little Sauvignon Blanc.",85,50.0,California,Napa Valley,Bordeaux-style White Blend,Palazzo Wine
US,"Shows rich, extracted flavors of blackberry, blueberry and cherry jam, milk chocolate, black currants, licorice and smoky cedar wood. The fruit is nice and ripe, but the wine is a little too soft and sweet. Drink now.",87,30.0,California,Lake County,Cabernet Sauvignon,Shannon Ridge
France,"This light-colored wine is attractively perfumed but with a grassy edge that suggests the fruit was underripe. Built for the short term, it will be ready from late 2017.",84,19.0,Burgundy,Bourgogne,Pinot Noir,Pierre Gruber
US,Aromas of bright pink roses and soft cherry fruit are a bit shy on the nose but pretty when they do arise. The palate of this 85% Syrah and 15% Viognier blend shows raspberry fruit and lime-rind tartness.,87,28.0,California,Paso Robles,Rosé,Four Lanterns
Italy,"Here is a smooth, supple sparkling wine, with bright aromas of citrus, stone fruit, apricot, baked bread and even a touch of piquant white peppercorn. The mouthfeel is full and generous, with fine, tonic perlage on the finish.",91,24.0,Lombardy,Franciacorta,Sparkling Blend,La Montina
US,"From 100% estate-grown fruit, this 100% varietal wine is dusty and dark with elements of pencil shavings, cedar and cassis. With that herbal and earthy intensity giving it defined character, it remains medium bodied and textured on the palate, with a saltiness to the finish.",88,80.0,California,Atlas Peak,Cabernet Sauvignon,Lobo
Spain,"Given the high level at which Rioja is running these days, this green wine with aromas of pole beans and tobacco ash just isn't up to standards. Balance and elegance are nowhere to be found.",81,24.0,Northern Spain,Rioja,Tempranillo,Lar de Paula
US,"A bit lighter in color than other Rhône blends, certainly due to the 40% Counoise (and bolstered by 36% Mourvèdre and 24% Grenache), this offers a punchy red-currant, orange-rind and chaparral-scrub nose. Fresh cracked black pepper, cranberry-orange-plum juice and a rich earthy tone show on the palate.",90,40.0,California,Adelaida District,Rhône-style Red Blend,kukkula
US,"Very good price for a Riesling of this quality. It's very dry and high in acidity, cleansing the palate and stimulating it to appreciate rich fare, from liver paté on toast to grilled trout or chicken satay. Or delicious on its own, with fresh citrus, apricot and peach fruit flavors.",89,14.0,California,El Dorado County,Riesling,Jacella
US,"This offers appealing notes of cranberry, cherry and orange peel along with a kiss of vanilla. It's tart and fresh in style with puckering fruit flavors—perfect for the dinner table.",87,13.0,Washington,Washington,Blaufränkisch,Shooting Star
US,"A tough wine to like right now. It's tightly wound and hard in tannins and bone dry, which is the winery's house style. These are grapes that were picked early, before they shriveled. The flavors veer between blackberries and currants to anise and pepper. The gamble is in the cellar. Try after 2013.",88,45.0,California,Napa,Cabernet Sauvignon,Smith-Madrone
Argentina,"With attractive melon and other tropical aromas, this is a Torrontés that rises above the masses. It smells great and tastes like a pure blend of lychee fruit, tangerine and honeydew melon. The palate feel is smooth and round, and the finish is dry, clean and healthy. It's everything that Torrontés should be. Drink now.",88,12.0,Other,Salta,Torrontés,Alamos
France,"In this dense wine, dusty tannins ride over spice and black currant fruits, giving weight and concentration while retaining the natural stylish character of the château.",94,24.0,Bordeaux,Pomerol,Bordeaux-style Red Blend,Vieux Château Certan
France,"Rounded wine, very soft. The ripeness of the fruit is very apparent and fits with its almond and peach flavors and its acidity brings an attractive final tang.",85,24.0,Burgundy,Mâcon-Villages,Chardonnay,Domaine Pascal et Mireille Renaud
US,"Soft and luscious, this Cabernet has a melted fruit quality, like cherry pie filling, with a scoop of vanilla and coffee ice cream. Tasty, but beyond that is great structure and bones. Drink this wine by 2015.",92,42.0,California,Napa Valley,Cabernet Sauvignon,Darioush
France,"Although 2006 won't go down as a great vintage in the northern Rhône, Chapoutier's selections parcellaires are still top notch. Le Méal gets the nod this year as the most powerful of the group, with massive espresso and black olive elements tinged with meat and underlain by a bed of ripe blueberries. Long and mouthwatering on the finish, look for this wine to approach maturity by 2016; drink well through 2025 or longer.",95,270.0,Rhône Valley,Hermitage,Syrah,M. Chapoutier
France,"It is sometimes forgotten that Chassagne-Montrachet also produces red wines. Louis Latour's wine presents a fine structure, soft and fresh acidity and ripe, jammy berry flavors. There is a good core of dryness that suggests aging for 2–3 years.",88,25.0,Burgundy,Chassagne-Montrachet,Pinot Noir,Louis Latour
US,"Black currants, cherries, chocolate, tobacco, coffee, cola and dusty Asian spices mark this dry, young Syrah. Turns a little rustic and thin on the finish, but the flavors are rich and interesting.",87,25.0,California,Dry Creek Valley,Syrah,Roshambo
US,"There's a rich, velvety texture here, and it's fully dry, but the fruit has a baked quality, and the burnt char of oak adds to that smoky astringency. Finishes salty. Might simply be going through a clumsy stage.",84,45.0,California,Carneros,Syrah,San Sakana
US,"Good Cabernet, dry and complex, showing classic Napa character. The tannin structure is near perfect, while the flavors are ripe and juicy in blackberries, cherries, currants and cedar. Polished now and through 2013.",92,42.0,California,Napa Valley,Cabernet Sauvignon,Frog's Leap
Italy,"This has pretty smoked tones of barbecue spice and cured meat, backed by cassis. It's dense and rich, and its tannins are smooth.",91,55.0,Veneto,Recioto della Valpolicella Classico,"Corvina, Rondinella, Molinara",Corteforte
US,"This is 100% Zinfandel, unlike the regular bottling, from specially selected barrels. 300 cases made. There's concentrated raspberry fruit in the nose, good intensity on the palate, with a good, rich mouthfeel and full, soft tannins in the finish.",89,25.0,California,Dry Creek Valley,Zinfandel,Château Souverain
US,"This very tannic wine is fierce and astringent at this time. It's almost old-fashioned in its puckery dryness. True, it has a deep core of ripe blackberry, cherry, currant, licorice and cola flavors that could emerge after sufficient aging, but it's not a certainty.",85,70.0,California,Sonoma Valley,Cabernet Sauvignon,Petroni
US,"The lusciousness factor on this wine is high. It's soft, dry and silky, with sensual flavors of red cherries, vanilla, cola, herbs and anise. Almost like a Pinot Noir, but a little bit more full-bodied. Drink now.",92,40.0,California,Mount Veeder,Bordeaux-style Red Blend,Yates Family Vineyard
US,"Made in the modern, ripe California style of exceptionally ripe fruit, accented with strong oak. Not especially subtle, but flattering to the palate, with opulent flavors of pineapple crème brûlée, peaches, cream, buttered toast, vanilla bean and honeysuckle.",88,35.0,California,Anderson Valley,Chardonnay,Barnett
US,"Hard in tannins and bone dry, this Malbec needs rich beef dishes to balance out the astringency. It has a ripe heart of blackberries and currants, and is at its best now. Decant for a few hours.",86,28.0,California,Paso Robles,Malbec,Midnight
Italy,"This hearty Brunello shows a ripe, almost jammy personality with strawberry and raspberry preserve notes. There are background tones of exotic spice, vanilla and cinnamon that help support the wine's chewy fruit. The mouthfeel is soft and velvety.",88,24.0,Tuscany,Brunello di Montalcino,Sangiovese Grosso,La Fiorita
US,"Deep and rich aromas of blackberry syrup and wet slate kick off this excellent, approachable representation of Santa Barbara County's new Ballard Canyon appellation. It's both juicy and tannic once sipped, tasty with blackberry and slight cherry juice. Balanced with medium-range force, it provides evidence of how the region evens out Syrah's rougher edges.",91,38.0,California,Ballard Canyon,Syrah,Transcendence
Argentina,"There's no drop-off in this wine from the excellent 2005. Expect blackberry, cassis and dry balsam wood/cedar aromas. The palate is lush and chewy, but also vital and lively. Toasty, dark berry flavors get a softening of vanilla on the finish. A winner to drink now through 2013.",92,55.0,Mendoza Province,Mendoza,Malbec,Bodega Catena Zapata
Italy,"This is a lovely Barolo with oak-driven aromas of vanilla and sweet spice between delicate layers of rose, tar and wild berry. There's plenty of tasty pulp and substance backed by tight tannins that will undoubtedly relax with more time in the bottle. Cellar age this wine five to ten more years.",93,80.0,Piedmont,Barolo,Nebbiolo,Ciabot Berton
US,"Red cherry, ripe cranberry, blackberry and a rocky minerality show on the nose of this once popular twist-top, bicycle-sporting wine that's back on the market. The palate is very fruit forward with very ripe blackberry and red cherry fruit, enough grip to catch attention and a cigar box complexity.",86,11.0,California,Central Coast,Cabernet Sauvignon,Cycles Gladiator
Australia,"A 60-40 blend, this full-bodied, creamy textured, lush wine captures the sun of McLaren Vale without taking it too far. Vanilla, licorice and plum notes mark the nose, while the plummy flavors pick up mocha shadings before turning a bit fudge-like on the long, velvety finish. Drink now–2018.",92,65.0,South Australia,McLaren Vale,Shiraz-Grenache,Angove
Spain,"Forward and direct up front, this has a yeasty but fresh apple aroma. It feels clean and ready, with lemon-lime and kiwi flavors that lead to a fresh finish. This is textbook Cava with some sweetness.",85,12.0,Catalonia,Cava,Sparkling Blend,Freixenet
US,"Plump and spicy, mixing mint and apple, with flavors running into riper fruits—pear and peach. This fills the mouth with luscious fruit, suggestions of vanilla cream and butterscotch, with just enough acidity to bolster it on through into the finish. It's big and thick for Riesling, yet beautifully balanced and quite delicious.",90,18.0,Washington,Columbia Valley (WA),Riesling,Southard
Argentina,"Both stewy and sweet on the nose. The palate is brawny and unctuous, with big berry fruit getting gobbled up by the wine's grabby, tannic structure. This is wild, rubbery, young Cab. Air it out and serve at your barbecue.",84,10.0,Mendoza Province,Mendoza,Cabernet Sauvignon,Terrazas de Los Andes
US,"This is easily Cuvaison's best Pinot Noir ever. It's not only delicious right out of the bottle, it's an ager. Really flatters the palate with appealing cherry, black raspberry, cola and tangerine fruit, wrapped in a silky texture. Yet it shows a dense, tightly tannic quality that suggest up to 8 years in the cellar.",92,45.0,California,Carneros,Pinot Noir,Cuvaison
France,"This is a rich wine that balances attractive white and yellow fruits with intense citrusy acidity. The result is a structured, round, tangy Chardonnay that is likely to smooth out further as it develops over the next 2–3 years.",88,24.0,Burgundy,Bourgogne,Chardonnay,André Guichot
US,"Peppery and stemmy, with a wintergreen tartness that suggests unevenly ripened grapes. The berry-cherry flavors are diluted. Still, it's a clean, dry wine at a decent price.",84,10.0,California,Lodi,Zinfandel,Campus Oaks
Italy,"This is a vibrant and easygoing wine made with Sangiovese grapes from Central Italy that offers clean aromas of cherry, wild berries and spice. The mouthfeel is lean and compact and the wine would pair with pasta al forno.",86,17.0,Central Italy,Sangiovese di Romagna Superiore,Sangiovese,Fattoria Zerbina
Italy,"This vintage has some Cabernet Sauvignon and Petit Verdot in the blend to back the Sangiovese and Merlot, and is more complex and complete. There's cherry, tobacco, leather, spice, black fruit and a touch of cool freshness in the form of leafy greens. It's a sophisticated wine with tight tannins and a long, dusty finish.",93,85.0,Tuscany,Toscana,Red Blend,Fattoria La Massa
